Restaurants,address,city,ratings,prices,cuisines,Meal_Type,Restaurant_offer_percentage,Online_payment_offer_percentage
38 Barracks,"Connaught Place (CP), Central Delhi",Delhi,4.2,1100,Multicuisine,Lunch,20,25
Drama Delhi,"Janpath, Connaught Place (CP), Central Delhi",Delhi,3.3,1700,"Indian, Multicuisine",Lunch,50,25
Veda,"Connaught Place (CP), Central Delhi",Delhi,4.2,2000,North Indian,Lunch,20,25
Warehouse Cafe,"Connaught Place (CP), Central Delhi",Delhi,4.1,1300,"Cocktail Menu, Multicuisine",Lunch,20,25
Connaught Clubhouse,"Janpath, Connaught Place (CP), Central Delhi",Delhi,4.1,1800,"Multicuisine, Cocktail Menu",Lunch,25,25
The Flavor Factory,"Connaught Place (CP), Central Delhi",Delhi,4.2,800,South Indian,Lunch,15,25
Ministry Of Beer,"Connaught Place (CP), Central Delhi",Delhi,4.1,1500,"Cocktail Menu, Multicuisine",Lunch,25,25
Gola Sizzlers,"Connaught Place (CP), Central Delhi",Delhi,4.3,1500,"Sizzlers, Multicuisine",Lunch,20,25
Mount Fuji,"Connaught Place (CP), Central Delhi",Delhi,4.7,1500,Asian,Lunch,15,25
Ce La Vie,"Connaught Place (CP), Central Delhi",Delhi,3.9,1800,"Italian, Lebanese, Pan Asian, Asian, Continental",Lunch,30,25
Le Petit Cafe ,"The Lalit, New Delhi",Delhi,4.0,2500,"Vegan, Continental",Lunch,30,25
Somewhere Restaurant & Bar,"Connaught Place (CP), Central Delhi",Delhi,4.1,1500,Multicuisine,Lunch,30,25
Moti Mahal,"Connaught Place (CP), Central Delhi",Delhi,4.2,1500,North Indian,Lunch,30,25
HarleQuin,"Connaught Place (CP), Central Delhi",Delhi,3.1,1500,"Cocktail Menu, Multicuisine",Lunch,30,25
The Connaught Bar,"Radisson Blu Marina, New Delhi",Delhi,4.3,1800,"Finger Food, Cocktail Menu",Lunch,35,25
Eau De Monsoon,"Le Meridien, New Delhi",Delhi,4.4,4000,Modern Indian,Lunch,25,25
The One ,"Le Meridien, New Delhi",Delhi,4.1,3000,Multicuisine,Lunch,25,25
Themis Barbecue House,"Connaught Place (CP), Central Delhi",Delhi,4.5,2400,Multicuisine,Lunch,30,25
Dhaba - Estd 1986 Delhi,"Connaught Place (CP), Central Delhi",Delhi,4.2,2200,North Indian,Lunch,15,25
Castle's Barbeque,"Connaught Place (CP), Central Delhi",Delhi,3.7,2000,"Multicuisine, Barbeque",Lunch,40,25
Punjab Grill,"Janpath, Connaught Place (CP), Central Delhi",Delhi,4.1,2000,North Indian,Lunch,20,25
Roasted,"Roseate House, New Delhi",Delhi,4.4,1000,"Bakery, Cafe",Lunch,50,25
Massala Singh,"Connaught Place (CP), Central Delhi",Delhi,5.0,1800,"Chinese, North Indian",Lunch,20,25
Rhaas ,"Karol Bagh, Central Delhi",Delhi,4.0,800,Multicuisine,Lunch,25,25
Ghoomar Traditional Thali Restaurant,"Connaught Place (CP), Central Delhi",Delhi,3.9,1000,"North Indian, Rajasthani",Lunch,15,25
Cedar Clubhouse,"Janpath, Central Delhi",Delhi,3.6,1800,"Cocktail Menu, Multicuisine",Lunch,20,25
QBA,"Connaught Place (CP), Central Delhi",Delhi,4.3,1500,Multicuisine,Lunch,20,25
Chidyaghar Bar,"Roseate House, New Delhi",Delhi,4.6,3000,Multicuisine,Lunch,50,25
Royal Bistro Brewery,"The Royal Plaza, New Delhi",Delhi,4.1,2500,Multicuisine,Lunch,20,25
Taste of China,"Connaught Place (CP), Central Delhi",Delhi,4.2,1100,Chinese,Lunch,20,25
Ivoryy Fusion Bar,"Connaught Place (CP), Central Delhi",Delhi,4.0,2000,Pan Asian,Lunch,15,25
Farzi Cafe,"Connaught Place (CP), Central Delhi",Delhi,4.2,1500,Modern Indian,Lunch,20,25
Cafe Hawkers,"Connaught Place (CP), Central Delhi",Delhi,3.8,1200,Multicuisine,Lunch,20,25
Roma,"Connaught Place (CP), Central Delhi",Delhi,4.0,3000,"Italian, Mediterranean, Modern Indian, Continental",Lunch,15,25
Gokulam,"Janpath, Connaught Place (CP), Central Delhi",Delhi,4.3,500,South Indian,Lunch,10,25
BiziBean,"Connaught Place (CP), Central Delhi",Delhi,3.0,500,Cafe,Lunch,20,25
Grappa,Shangri-La Eros New Delhi,Delhi,4.3,3000,Finger Food,Lunch,25,25
Zaffran,"Connaught Place (CP), Central Delhi",Delhi,4.5,1800,Indian,Lunch,15,25
The Host,"Connaught Place (CP), Central Delhi",Delhi,4.1,1600,Indian,Lunch,15,25
Pulp The Delicacy,"Connaught Place (CP), Central Delhi",Delhi,3.0,1200,Indian,Lunch,40,25
Filmy Bar & Cafe,"Paharganj, Central Delhi",Delhi,2.8,1200,Multicuisine,Lunch,40,25
Barista Coffee,"Regal Building, Central Delhi",Delhi,3.5,600,Multicuisine,Lunch,20,25
Parikrama The Revolving Restaurant,"Barakhamba Road, Central Delhi",Delhi,4.5,2000,Multicuisine,Lunch,20,25
Dasaprakash,"Connaught Place (CP), Central Delhi",Delhi,4.4,800,South Indian,Lunch,10,25
Karigari By Chef Harpal Singh Sokhi,"Janpath, Connaught Place (CP), Central Delhi",Delhi,3.9,1800,"North Indian, Biryani, Desserts, Mughlai, Kebabs",Lunch,15,25
Resaca,"Karol Bagh, Central Delhi",Delhi,4.6,1200,Multicuisine,Lunch,20,25
Andhra Canteen,"Connaught Place (CP), Central Delhi",Delhi,3.9,700,"Andhra, South Indian",Lunch,10,25
Dosa Coffee,"Connaught Place (CP), Central Delhi",Delhi,5.0,500,"Beverages, South Indian",Lunch,25,0
The Dineroom,"Punjabi Bagh, West Delhi",Delhi,4.2,1200,"Continental, Beverages, Chinese, North Indian, Multicuisine, Desserts",Lunch,40,25
White Oak,"Paharganj, Central Delhi",Delhi,4.6,1000,Multicuisine,Lunch,25,25
Barbeque Nation,"Connaught Place (CP), Central Delhi",Delhi,4.4,2200,"Multicuisine, Barbeque",Lunch,25,0
Dutyfree My Pocket Friendly Bar,"Sector 142, Noida",Noida,3.3,1900,Multicuisine,Lunch,40,25
Royal Bistro Restaurant,"The Royal Plaza, New Delhi",Delhi,4.0,3000,Multicuisine,Lunch,15,25
Social Affaire,"Karol Bagh, Central Delhi",Delhi,3.0,1200,Multicuisine,Lunch,20,25
Cafe Delhi Heights,"Janpath, Connaught Place (CP), Central Delhi",Delhi,4.4,1500,Multicuisine,Lunch,15,25
The Beer Cafe,"Janpath, Central Delhi",Delhi,4.8,1800,"Cocktail Menu, Multicuisine",Lunch,15,25
Thyme,"The Umrao, New Delhi",Delhi,4.1,1800,Multicuisine,Lunch,50,25
Flurys,"The Park, New Delhi",Delhi,4.0,700,"Confectionery, Bakery",Lunch,10,25
The Mandi Chowk,"Connaught Place (CP), Central Delhi",Delhi,4.9,1000,North Indian,Lunch,10,25
Viva ,Holiday Inn New Delhi International Airport,Delhi,4.3,2000,Multicuisine,Lunch,50,25
Branche Restaurant,"Golden Tulip Suites, Gurgaon",Gurgaon,4.1,1500,Multicuisine,Lunch,50,25
Roman Garden,"The Royal Plaza, New Delhi",Delhi,2.0,2500,Multicuisine,Lunch,15,25
Atrium Deli,"Ramada Gurgaon Central, Gurgaon",Gurgaon,3.9,1600,Multicuisine,Lunch,50,25
KOKKINOS,"Ramada Gurgaon Central, Gurgaon",Gurgaon,4.7,2000,Multicuisine,Lunch,50,25
Breath - Fine Lounge & Bar,"Punjabi Bagh, West Delhi",Delhi,5.0,1500,Multicuisine,Lunch,40,25
Monet,"Sector 65, Gurgaon",Gurgaon,5.0,1400,Fusion,Lunch,50,25
Pavilion 75 ,"WelcomHotel Dwarka, New Delhi",Delhi,4.2,7000,Multicuisine,Lunch,30,25
San Gimignano ,"The Imperial New Delhi, Lobby Level Janpath Road, New Delhi",Delhi,4.9,6000,Italian,Lunch,25,0
Decode Air Bar,"Sector 29, Gurgaon",Gurgaon,3.6,1200,"Multicuisine, Cocktail Menu",Lunch,30,25
Cafe Delhi One,"Hotel Connaught Royale, Delhi",Delhi,5.0,1400,Multicuisine,Lunch,25,25
Spice It,"Hotel IBIS, Gurgaon",Gurgaon,3.9,1500,Multicuisine,Lunch,50,25
Kikli,"Connaught Place (CP), Central Delhi",Delhi,3.9,2100,North Indian,Lunch,25,0
Gourmet Bar,"Novotel City Centre, Delhi NCR",Delhi,4.0,3000,Multicuisine,Lunch,25,25
Drunken Affair,"Sector 4, Noida",Noida,4.0,1500,"Cocktail Menu, Multicuisine",Lunch,50,25
Verandah Moonshine,"Punjabi Bagh, West Delhi",Delhi,3.8,1500,North Indian,Lunch,40,25
XO & Mi @ Le Belvedere,"Le Meridien, New Delhi",Delhi,4.4,4000,Pan Asian,Lunch,20,25
Cafe G,"Crowne Plaza, Gurgaon",Gurgaon,4.5,2300,Multicuisine,Lunch,50,25
Bheemeshwara - A South Indian Delicacy,"Connaught Place (CP), Central Delhi",Delhi,4.6,1000,South Indian,Lunch,25,0
The Food Store,"DoubleTree by Hilton, Gurgaon",Gurgaon,4.2,3000,Multicuisine,Lunch,50,25
Sanadige at Malcha - Fine Dine Restaurant,"Chanakyapuri, Central Delhi",Delhi,4.4,2000,"Cocktail Menu, Multicuisine",Lunch,25,25
#3BROS,"Sector 63, Noida",Noida,4.2,900,Multicuisine,Lunch,30,25
Asia Alive,"DoubleTree by Hilton, Gurgaon",Gurgaon,4.4,2300,"Pan Asian, Chinese, North Indian, Thai, Indonesian",Lunch,50,25
The Art House Cafe,"Connaught Place (CP), Central Delhi",Delhi,3.9,1200,"Cafe, Multicuisine",Lunch,10,25
Lobby Lounge,"The Royal Plaza, New Delhi",Delhi,4.0,2000,"Fast Food, Coffee and Tea",Lunch,25,0
PO,"Connaught Place (CP), Central Delhi",Delhi,3.7,1200,Pan Asian,Lunch,0,25
Bikkgane Biryani ,"Connaught Place (CP), Central Delhi",Delhi,4.5,700,Multicuisine,Lunch,25,0
L’Osteria Bella,Holiday Inn New Delhi International Airport,Delhi,4.6,3000,Italian,Lunch,25,25
21 Shots,"Sector 29, Gurgaon",Gurgaon,3.0,1200,Cocktail Menu,Lunch,40,25
The Lounge,"Hyatt Regency, Gurgaon",Gurgaon,4.5,1200,"Cocktail Menu, Finger Food",Lunch,25,25
Flavours,"The Gaurs Sarovar Portico, Noida",Noida,3.9,1200,Multicuisine,Lunch,25,25
Saffron Restaurant,"Paharganj, Central Delhi",Delhi,4.0,500,"Indian, Continental",Lunch,10,25
Chaupal ,"The Westin Sohna Resort & Spa, Gurgaon",Gurgaon,4.0,3500,"Finger Food, Cocktail Menu",Lunch,50,25
Young wildfree cafe,"Moti Bagh, South Delhi",Delhi,4.3,600,Multicuisine,Lunch,40,25
Pioneers Flavours of China,"Connaught Place (CP), Central Delhi",Delhi,1.0,1000,Chinese,Lunch,25,0
The Punterhouse Café Reloaded,"Sector 12, Dwarka, West Delhi",Delhi,3.8,1700,Multicuisine,Lunch,50,25
Cafe Pride,"Pride Plaza Hotel, New Delhi",Delhi,4.0,2000,Multicuisine,Lunch,30,25
Barish Lounge & Rooftop,"Gardens Galleria Mall, Sector 38 Noida",Noida,2.7,1800,Multicuisine,Lunch,50,25
Ka Eclairs & Kafe,"Sector 18, Noida",Noida,4.5,900,Cafe,Lunch,25,25
Nook,Aloft Hotel Aerocity New Delhi,Delhi,4.4,1800,Multicuisine,Lunch,25,25
Citrus Cafe,"Sandal Suites, Noida",Noida,4.1,1200,Multicuisine,Lunch,50,25
 Pure Shudh,"Karol Bagh, Central Delhi",Delhi,4.0,500,"Chinese, Indian",Lunch,0,25
The Droots,"Pitampura, North Delhi",Delhi,2.9,1200,Multicuisine,Lunch,40,25
Dearie Bar Brewery Kitchen,"Gardens Galleria Mall, Sector 38 Noida",Noida,3.9,1500,Multicuisine,Lunch,35,25
Taco Bell,"Connaught Place (CP), Central Delhi",Delhi,5.0,550,"Mexican, Tex-Mex",Lunch,25,0
Dutchman Portz,"Spectrum Metro Mall, Noida",Noida,4.0,2200,"Chinese, Italian",Lunch,40,25
India Grill,"Hilton Garden Inn, Saket",Saket,3.8,2400,Indian,Lunch,30,25
Coco Café By Cococart,"DLF Mall of India, Sector 18, Noida",Noida,3.2,800,Cafe,Lunch,30,25
The Grill House,"Galaxy blue Sapphire Mall,Greater Noida",Noida,3.8,1500,Multicuisine,Lunch,50,25
Fat Lulu’s,"Galleria Market, Gurgaon",Gurgaon,4.0,1500,Multicuisine,Lunch,25,25
Sampan ,"The Suryaa Hotel, New Delhi",Delhi,4.7,3400,Pan Asian,Lunch,25,25
Noe,"Chanakyapuri, Central Delhi",Delhi,4.0,3000,"Italian, African",Lunch,25,0
Barbeque Nation,"Regal Building, Central Delhi",Delhi,4.0,2000,Barbeque,Lunch,25,0
Bloom Cafe ,"Janpath, Connaught Place (CP), Central Delhi",Delhi,4.0,1200,Multicuisine,Lunch,25,0
Bloom Cafe,Bloomrooms @ New Delhi Railway Station,Delhi,4.0,1200,Multicuisine,Lunch,25,0
Bloom Café,"Bloom Boutique, Connaught Place Area, Delhi NCR",Delhi,4.0,1200,Multicuisine,Lunch,25,0
The Culinary Court ,"Park Ascent, Noida",Noida,4.4,2199,North Indian,Lunch,50,25
Spiritual ,"DoubleTree by Hilton, Gurgaon",Gurgaon,4.8,2100,"Finger Food, Italian, North Indian, Continental",Lunch,50,25
Club Encore by Vatavaran,"Sector 38, Noida",Noida,4.0,1500,Multicuisine,Lunch,30,25
Noura Delhi ,"Pitampura, North Delhi",Delhi,2.0,1300,Multicuisine,Lunch,40,25
The Lhasa Lounge,"Sector 104, Noida",Noida,4.2,1100,"Pan Asian, Cafe",Lunch,35,25
Moti Mahal Delux,"Sector 63, Noida",Noida,4.1,1100,North Indian,Lunch,30,25
Spice It Bar,"Hotel IBIS, Gurgaon",Gurgaon,4.5,1500,Multicuisine,Lunch,50,25
Cozy The Casual Lounge,"Sector 75, Noida",Noida,4.0,1500,Multicuisine,Lunch,35,25
Zambar,"Ambience Mall, Gurgaon",Gurgaon,4.5,1500,South Indian,Lunch,25,25
Urban Garden Lounge & Bar,"Paharganj, Central Delhi",Delhi,3.0,500,Multicuisine,Lunch,25,0
Café Pluck,Pullman New Delhi Aerocity-An AccorHotels Brand,Delhi,4.7,3500,Multicuisine,Lunch,25,25
J's Contemporary Oriental,"Sector 18, Noida",Noida,4.6,1500,oriental,Lunch,30,25
Toy Box,"Sector 29, Gurgaon",Gurgaon,3.6,1500,Multicuisine,Lunch,50,25
Soy X Neung Roi,"Radisson Blu Plaza Delhi Airport, Mahipalpur",Delhi,4.6,3000,Pan Asian,Lunch,50,25
The Flying Dutchman,"Sector 63, Noida",Noida,3.8,1000,Multicuisine,Lunch,30,25
La Bamba - High Energy Club,"Sector 29, Gurgaon",Gurgaon,4.0,1200,Multicuisine,Lunch,50,25
YouMee,"Airia Mall, Sector 68, Gurgaon",Gurgaon,4.3,1500,Asian,Lunch,30,25
The U Kitchen,"Greater Noida, Noida",Noida,4.3,1000,Multicuisine,Lunch,30,25
Ministry of Daru,"Sector 63, Noida",Noida,5.0,1800,Multicuisine,Lunch,20,25
Kampai,"DLF Promenade Mall, Vasant Kunj",Vasant Kunj,4.5,1500,Japanese,Lunch,25,25
 Atmosphere Restro & Bar,"Pitampura, North Delhi",Delhi,4.7,1000,Multicuisine,Lunch,20,25
Zodiac,"Fortune Park, East Delhi",Delhi,5.0,1500,Multicuisine,Lunch,25,25
Upgrade Kitchen & Bar,"New Friends Colony, South Delhi",Delhi,4.0,800,"Cocktail Menu, Multicuisine",Lunch,20,25
The Sky High,"Vasant Kunj, South Delhi",Vasant Kunj,4.1,1200,Multicuisine,Lunch,30,25
Morni House Cafe And Terrace,"Sainik Farms, South Delhi",Delhi,5.0,1000,Multicuisine,Lunch,25,25
Ssence,"The Suryaa Hotel, New Delhi",Delhi,4.4,3000,Multicuisine,Lunch,25,25
Juuls,"Sector 104, Noida",Noida,3.7,1000,Multicuisine,Lunch,30,25
60 ML,"Country Inn & Suites by Radisson, Sector 12, Gurgaon",Gurgaon,4.6,1500,"Cocktail Menu, Finger Food",Lunch,40,25
Msai Mara - The Cocktail Jungle,"Sector 16, Faridabad",Faridabad,3.9,2000,"Cocktail Menu, Multicuisine",Lunch,25,25
Kebabs & Curries Company,"Sector 46, Gurgaon, Gurgaon",Gurgaon,4.5,800,"Rajasthani, North Indian",Lunch,40,25
Float By Duty Free,"Spectrum Metro Mall, Noida",Noida,3.6,1500,"Cocktail Menu, Multicuisine",Lunch,40,25
Balloch,"Sector 49, Noida",Noida,4.1,1500,Indian,Lunch,40,25
Govardhan Vegetarian,"Kamla Nagar, North Delhi",Delhi,4.5,500,Multicuisine,Lunch,25,25
Gallery Cafe,"Hyatt Place, Gurgaon",Gurgaon,4.2,1500,Multicuisine,Lunch,25,25
Kaffe Stories,"Sector 51, Gurgaon",Gurgaon,5.0,800,Multicuisine,Lunch,20,25
Nomad Experience,"Greater Kailash (GK) 2, South Delhi",Delhi,3.9,800,"Italian, Pizza",Lunch,1,1
Savannah Bar,"Radisson Blu Plaza Delhi Airport, Mahipalpur",Delhi,4.6,2000,"Multicuisine, Cocktail Menu",Lunch,50,25
TGH Bar & Terrace Dining,"Galaxy blue Sapphire Mall,Greater Noida",Noida,2.0,1000,Multicuisine,Lunch,50,25
Amritsar Haveli,"Rajouri Garden, West Delhi",Delhi,4.1,1000,Multicuisine,Lunch,30,25
Toy Boy,"Gardens Galleria Mall, Sector 38 Noida",Noida,2.0,1500,Multicuisine,Lunch,50,25
Be Raw Rooftop Cafe,"Sector 31, Gurgaon",Gurgaon,4.0,500,Multicuisine,Lunch,40,25
Kaffiiaa,"Sector 18, Noida",Noida,4.2,1000,Multicuisine,Lunch,30,25
Kawaii,"GTB Nagar, North Delhi",Delhi,4.1,1000,Multicuisine,Lunch,30,25
The Whisky Bar & Brewpub.,"Sector 29, Gurgaon",Gurgaon,3.9,1800,"Cocktail Menu, Finger Food",Lunch,50,25
Brewocrat - Brewery Skybar & Kitchen,"South City 2, Gurgaon",Gurgaon,4.5,2000,"Cocktail Menu, Multicuisine",Lunch,30,25
Big Pitcher,"Sector 29, Gurgaon",Gurgaon,4.2,1600,"Cocktail Menu, Multicuisine",Lunch,25,25
VietNom,"Cyber Hub, Gurgaon",Gurgaon,4.6,2000,"Pan Asian, Vietnamese",Lunch,30,25
La Croute,"Sundar Nagar, South Delhi",Delhi,5.0,1200,Italian,Lunch,20,25
WITC - Wok In The Clouds,"Khan Market, Central Delhi",Delhi,4.4,2000,Multicuisine,Lunch,20,25
The Beer Mug,"Sector 142, Noida",Noida,4.7,1000,Multicuisine,Lunch,45,25
Kitchen District - Hyatt Regency Gurgaon,"Hyatt Regency, Gurgaon",Gurgaon,4.2,2400,"Multicuisine, Pan Asian, Continental, Indian",Lunch,25,25
Nanking,"Vasant Kunj, South Delhi",Vasant Kunj,4.5,1500,Chinese,Lunch,25,25
ASUR,"Karampura, West Delhi",Delhi,3.7,1800,Multicuisine,Lunch,30,25
Cibo,"Sector 50, Gurgaon",Gurgaon,4.6,1200,Multicuisine,Lunch,25,25
Moti Mahal ,"DLF Phase 1, Gurgaon",Gurgaon,5.0,1200,Mughlai,Lunch,30,25
Flluid,"Mosaic Hotels, Noida",Noida,4.3,1500,Multicuisine,Lunch,30,25
Duty Free Courtyard,"Sector 38, Noida",Noida,3.6,1400,"European, Italian, North Indian, Continental",Lunch,30,25
Rremix,"Sector 129, Noida",Noida,4.0,2000,Multicuisine,Lunch,50,25
Pinxx,"Sector 49, Gurgaon",Gurgaon,3.9,1200,"Chinese, Italian, Multicuisine, Continental",Lunch,50,25
Downtown Village,"Hauz Khas Village, South Delhi",Delhi,3.1,1200,Multicuisine,Lunch,30,25
Green Mantis,"Khan Market, Central Delhi",Delhi,4.5,2500,Pan Asian,Lunch,20,25
Latest Recipe,"Le Meridien, Gurgaon",Gurgaon,4.3,2500,"Indian, Italian, Asian",Lunch,30,25
Cafe Di Milano,"Sector 13, Dwarka, West Delhi",Delhi,4.4,700,Multicuisine,Lunch,20,25
Poppy's Tea Room,"Sector 66, Gurgaon",Gurgaon,5.0,1200,"British, Continental",Lunch,15,25
Raajsik,"The Umrao, New Delhi",Delhi,4.4,2000,Indian,Lunch,30,25
The Ancient Barbeque & Bar,"Sector 63, Noida",Noida,4.5,1300,"Indian, Barbeque",Lunch,15,25
DKK,"The Grand, New Delhi",Delhi,4.2,3200,"Multicuisine, Modern Indian",Lunch,25,25
Mandarin Trail,"The Great India Place Mall, Noida",Noida,4.4,1600,"Thai, Chinese, North Indian",Lunch,30,25
Ching Singh,"Logix City Centre Mall, Noida",Noida,4.4,1200,"Chinese, Indian, Multicuisine, Pan Asian",Lunch,15,25
Dawn2Dusk Café,"Sector 104, Noida",Noida,5.0,1500,Multicuisine,Lunch,25,25
Roesia Bar Brewery Modern Kitchen,Aipl Joy Street Gurgaon Sector 66,Gurgaon,4.2,1500,Multicuisine,Lunch,30,25
Illuzion Luxe Club,"Gardens Galleria Mall, Sector 38 Noida",Noida,3.3,1700,Multicuisine,Lunch,50,25
Desi Dakaar,"Sector 49, Noida",Noida,3.4,800,North Indian,Lunch,50,25
Cafe Knosh,"The Leela Ambience Convention Hotel, New Delhi",Delhi,4.3,2000,Multicuisine,Lunch,15,25
Smokey Lounge,"Basant Lok, Vasant Vihar, South Delhi",Delhi,4.4,1800,Multicuisine,Lunch,20,25
Atmos29 RestoBar & Club,"Greater Noida, Noida",Noida,5.0,1200,Multicuisine,Lunch,50,25
Meraki Cafe & Bar,"Defence Colony, South Delhi",Delhi,4.2,1400,Multicuisine,Lunch,20,25
 Curry House CoCo Ichibanya,"DLF Cyber City, Gurgaon",Gurgaon,4.7,1000,"Japanese, Pan Asian",Lunch,25,25
Baby Dragon Bar & Restaurant,"Sector 18, Noida",Noida,4.3,1400,Chinese,Lunch,20,25
RAAG by Miss Nora,"Rajouri Garden, West Delhi",Delhi,4.0,1400,Indian,Lunch,25,25
China Club,"MG Road, Gurgaon, Gurgaon",Gurgaon,4.6,2500,Chinese,Lunch,25,25
Pukhtaan - Legacy of Padma Shri Chef Imtiaz Qureshi,"Satyaniketan, South Delhi",Delhi,4.2,1100,Mughlai,Lunch,20,25
Out Of The Box,"Khan Market, Central Delhi",Delhi,4.3,1500,Multicuisine,Lunch,15,25
RUBARRU,"Gardens Galleria Mall, Sector 38 Noida",Noida,3.8,1500,"Continental, Chinese, Indian, Mexican, Multicuisine",Lunch,50,25
Clock Tower,"Golf Course Road, Gurgaon",Gurgaon,4.6,2700,Multicuisine,Lunch,25,25
High Spirits,"Hilton Garden Inn, Saket",Saket,3.7,1500,"Finger Food, Cocktail Menu",Lunch,30,25
Pling Bar,Pullman New Delhi Aerocity-An AccorHotels Brand,Delhi,4.7,3500,"Cocktail Menu, Finger Food",Lunch,30,25
The Glutton Cafe,"Sector 67, Gurgaon",Gurgaon,3.7,1500,Multicuisine,Lunch,30,25
Dorrance Cafe Club and Bar,"Sector 81, Faridabad, Faridabad",Faridabad,3.9,1500,Cocktail Menu,Lunch,25,25
The Creative Kitchen,"Radisson, Noida",Noida,4.4,5000,Multicuisine,Lunch,25,25
Echoes ,"Rajouri Garden, West Delhi",Delhi,5.0,1400,"Indian, Italian, Chinese",Lunch,15,25
Sassy Oscar,"Gardens Galleria Mall, Sector 38 Noida",Noida,3.0,2000,Multicuisine,Lunch,30,25
Charcha,"Kamla Nagar, North Delhi",Delhi,4.5,1000,"Beverages, Italian",Lunch,15,25
Beyond Design Bistro,"Sultan Pur, South Delhi",Delhi,4.0,1300,Multicuisine,Lunch,25,25
Encanto,"The Boulevard At Magnum Global Park, Sector 58, Gurgaon",Gurgaon,5.0,2200,Mexican,Lunch,20,25
Striker Privè,"Worldmark 4, Sector 65, Gurgaon",Gurgaon,3.8,1500,Multicuisine,Lunch,25,25
Dosa Planet,"Kashmiri Gate, East Delhi",Delhi,4.4,500,South Indian,Lunch,15,25
All Day Diner,"Sunday Hotels and Residences, Gurgaon",Gurgaon,4.0,1000,Multicuisine,Lunch,50,25
Sky High,"Sector 98, Noida",Noida,3.9,1300,"Multicuisine, Cocktail Menu",Lunch,30,25
Broadway,"Radisson Blu, Faridabad",Faridabad,4.4,3000,Multicuisine,Lunch,25,25
Canopy Pool Bar and Lounge,"Sector 4, Greater Noida , Noida",Noida,2.6,1000,Multicuisine,Lunch,30,25
